Everything has changed.	semuanya telah berubah
This makes them feel more confident.	hal ini membuat mereka merasa lebih percaya diri
Or better for that.	atau lebih baik untuk itu
Lastly, we don't all live in the same place.	terakhir kami tidak semua tinggal di tempat yang sama
I can do it again.	aku bisa melakukannya lagi
It's quite simple to do.	itu cukup sederhana untuk dilakukan
Of course not.	tentu saja tidak
Just saying that makes me a little more confident.	hanya mengatakan itu membuatku sedikit lebih percaya diri
Not all possible, but many.	tidak semua mungkin tapi banyak
I can't come like this.	aku tidak bisa datang seperti ini
Then? 	lalu
he thought.	dia pikir
It's not about one person.	bukan tentang satu orang
I get this question a lot.	saya mendapatkan pertanyaan ini banyak
That's all there is.	hanya itu yang ada
I looked inside at him.	aku melihat ke dalam padanya
I saw myself quickly.	saya melihat diri saya dengan cepat
This is going to be awesome.	ini akan menjadi luar biasa
Maybe he'll never be like that.	mungkin dia tidak akan pernah seperti itu
Actually, did not see it.	sebenarnya tidak melihatnya
Also, quite a number of people died.	juga cukup banyak orang yang mati
But he looked happy.	tapi dia tampak senang
He couldn't stand up anymore.	dia tidak bisa berdiri lagi
Works the same way.	bekerja dengan cara yang sama
He is no big deal to me.	dia adalah tidak besar bagi saya
No reason needed.	tidak perlu alasan
What worked for me may not work for you.	apa yang bekerja untuk saya mungkin tidak bekerja untuk anda
However, it cannot be done alone.	namun itu tidak bisa dilakukan sendiri
I will have your child.	saya akan memiliki anak anda
And that's him.	dan itu dia
It's not a great place to be anymore.	itu bukan tempat yang bagus untuk menjadi lagi
Because it's so much more fun.	karena itu jauh lebih menyenangkan
That's not a problem either.	itu juga tidak masalah
I just want to get out of this place.	aku hanya ingin pergi dari tempat ini
All very small, and needy.	semua sangat kecil dan membutuhkan
I don't have a job.	saya tidak punya pekerjaan
And see how it ends.	dan lihat bagaimana akhirnya
He says no and leaves.	dia mengatakan tidak dan pergi
It's already happened.	itu sudah terjadi
There is something extraordinary about it.	ada sesuatu yang luar biasa tentang hal itu
I thought it was very good.	saya pikir itu sangat bagus
And some dinner.	dan beberapa makan malam
I wish it existed.	saya berharap itu ada
Because, obviously, no one can do it all.	karena jelas tidak ada yang bisa melakukan itu semua
This helps a little.	ini membantu sedikit
Or, for that matter, looks.	atau dalam hal ini terlihat
Everything is there.	semua yang ada ada di sana
Now, you have done everything you could.	sekarang anda telah melakukan semua yang anda bisa
Not me, no.	bukan aku tidak
I really need to stop doing this.	aku benarbenar harus berhenti melakukan ini
It was another man.	itu adalah pria lain
There is you.	ada kamu
I sure do both.	saya yakin melakukan keduanya
See others.	lihat yang lain
And maybe so again.	dan mungkin seperti itu lagi
Someone has seen it.	seseorang telah melihatnya
And that's not a problem for me at all.	dan itu sama sekali bukan masalah bagi saya
But they definitely help.	tapi mereka pasti membantu
It will be current or never.	ini akan menjadi saat ini atau tidak sama sekali
That is you.	itu kamu
He wasn't happy.	dia tidak senang
But life is far from easy.	tapi hidup ini jauh dari mudah
That's very interesting.	itu sangat menarik
Or maybe ever.	atau mungkin pernah
That in itself is not a problem.	itu sendiri bukan masalah
It's a little different.	ini sedikit berbeda
Not many.	tidak banyak
And there is a reason for this.	dan ada alasan untuk ini
It could be me.	itu bisa saja saya
This should work fine.	ini harus bekerja dengan baik
I don't want to do anything else.	saya tidak ingin melakukan hal lain
I will not be a part of this.	saya tidak akan menjadi bagian dari ini
Must be big.	harus besar
It was a smaller thing back then.	itu adalah hal yang lebih kecil saat itu
No one can do that.	tidak ada yang bisa melakukan itu
Then and there.	saat itu dan di sana
Nothing to see here.	tidak ada yang terlihat di sini
We are afraid of our parents.	kami takut pada orang tua kami
You can know, you know.	anda bisa tahu anda tahu
Not many people do.	tidak banyak orang yang melakukannya
To me, they are the same.	bagi saya mereka sama saja
And it worked for me.	dan itu berhasil untuk saya
The sooner the better.	lebih cepat lebih baik
That was a few years ago.	itu beberapa tahun yang lalu
Don't try to leave again.	jangan mencoba untuk pergi lagi
It's just me speaking now.	ini hanya saya yang berbicara sekarang
You get the best of both worlds.	anda mendapatkan yang terbaik dari kedua dunia
And that, and that.	dan itu dan itu
I really believe some people go a long way.	saya benarbenar percaya beberapa orang pergi jauh
Without question, we must be strong.	tanpa pertanyaan kita harus kuat
Or someone can.	atau seseorang bisa
But it will all come.	tapi itu semua akan datang
This makes me happy.	ini membuatku senang
This means starting from the bottom.	ini berarti mulai dari bawah
It has lost them all.	itu telah kehilangan mereka semua
Should be dead.	seharusnya sudah mati
So he walked.	jadi dia berjalan
I have spoken to them about it.	saya telah berbicara dengan mereka tentang hal itu
He saw us coming in.	dia melihat kami masuk
I looked up.	aku melihat ke atas
This is home.	ini adalah rumah
This is actually my job.	ini sebenarnya pekerjaan saya
He looked incredulous.	dia tampak tidak percaya
At least this time of the year.	setidaknya saat ini tahun itu
But how it all really matters.	tapi bagaimana semua itu benarbenar penting
I have worked hard to come back.	saya telah bekerja keras untuk kembali
But they want to know for themselves.	tapi mereka ingin tahu sendiri
Yes, it's all there.	ya itu semua ada
Something just pulls on you.	sesuatu hanya menarik pada anda
There are different cases.	ada kasus yang berbeda
They don't know, because they don't have to.	mereka tidak tahu karena mereka tidak perlu
It makes you think.	itu membuat anda berpikir
Strong woman.	wanita kuat
That's one reason.	itu satu alasan
I must have a reason.	aku harus punya alasan
Nothing worked.	tidak ada yang berhasil
But this time, he had to be wrong.	tapi kali ini dia harus salah
It's not the same thing.	itu bukan hal yang sama
Time to enter.	waktu untuk masuk
Without a place to live, they will leave.	tanpa tempat tinggal mereka akan pergi
And they are absolutely clear.	dan mereka benarbenar jelas
You stay.	anda tetap tinggal
We're closer.	kami lebih dekat
He was talking to himself.	dia berbicara pada dirinya sendiri
Yes it works.	ya itu bekerja
But he doesn't have to live with it.	tapi dia tidak harus hidup dengan itu
He has important things to do.	dia memiliki halhal penting untuk dilakukan
He couldn't get out.	dia tidak bisa keluar
Of course this is true.	tentu saja ini benar
And how will you get there.	dan bagaimana anda akan sampai di sana
This has become my second home.	ini telah menjadi rumah kedua saya
Of course.	tentu saja
He knows how he can help.	dia tahu bagaimana dia bisa membantu
Where will he go? 	ke mana dia akan pergi
Let them stand.	biarkan mereka berdiri
They didn't even see it.	mereka bahkan tidak melihatnya
Didn't hear that.	tidak mendengar itu
This is wrong for two reasons.	ini salah karena dua alasan
Only have one.	hanya memiliki satu
Not for small children.	tidak untuk anak kecil
I want to live there.	saya ingin tinggal di sana
He needs a hospital.	dia membutuhkan rumah sakit
Many of your people don't.	banyak dari orangorang anda tidak
He really is.	dia benarbenar sangat
You've worked so hard not to know.	anda telah bekerja keras untuk tidak tahu
I did.	aku melakukannya
They are no longer on top.	mereka tidak lagi di atas
At least you can if you're still alive.	setidaknya anda bisa jika anda masih hidup
We have a lot to do.	kami memiliki banyak hal yang harus dilakukan
It is not easy, even then.	hal ini tidak mudah bahkan kemudian
If you know, you know.	jika anda tahu anda tahu
And for you too, of course.	dan untuk anda juga tentu saja
I can't have that.	saya tidak bisa memiliki itu
But even that is not enough.	tetapi bahkan itu tidak cukup
I felt really part of the house.	saya merasa benarbenar bagian dari rumah
It all happened.	itu semua terjadi
I don't think he found one.	saya tidak berpikir dia menemukan satu
But we don't think that this is true.	tapi kami tidak berpikir bahwa ini benar
This is just another.	ini hanya yang lain
Times change fast.	waktu cepat berubah
Not like them at all.	tidak seperti mereka sama sekali
You can only do it now.	anda hanya bisa melakukannya sekarang
I just hope not for me.	saya hanya berharap tidak untuk saya
In fact, hardly tried.	bahkan hampir tidak mencoba
And in the right place.	dan di tempat yang tepat
Or just .	atau hanya
It just looks a lot longer.	itu hanya tampak jauh lebih lama
We've got to do some really tough stuff, you know.	kita harus melakukan beberapa hal yang sangat sulit anda tahu
We didn't even know he was there.	kami bahkan tidak tahu dia ada di sana
They all work wonderfully.	mereka semua bekerja dengan luar biasa
There's no way he's going now.	tidak mungkin dia pergi sekarang
I have to do something.	aku harus melakukan sesuatu
I'm sure it must be my fault.	saya yakin itu pasti salah saya
And another and another and another.	dan lain dan lain dan lain
It's something else.	ini sesuatu yang lain
He hurts to stand up.	dia sakit untuk berdiri
The second son also stopped.	anak kedua juga berhenti
But it makes you think.	tapi itu membuat anda berpikir
Of course, that's not what happened.	tentu saja bukan itu yang terjadi
There's nothing more we can do.	tidak ada lagi yang bisa kami lakukan
I think that might be true.	saya pikir itu mungkin benar
But he won't do it.	tapi dia tidak akan melakukannya
He likes to work.	dia suka bekerja
You just start and go from there.	anda hanya mulai dan pergi dari sana
We do something together.	kami melakukan sesuatu bersama
But we have to get something for it.	tapi kita harus mendapatkan sesuatu untuk itu
Those people are interesting.	orangorang itu menarik
But that's one thing.	tapi itu satu hal
You know we can do it.	anda tahu kami bisa melakukannya
We must do the same.	kita harus melakukan hal yang sama
I am also fine.	aku juga baik
But it goes deeper than that.	tapi itu lebih dalam dari itu
I just wish it was different.	saya hanya berharap itu berbeda
We have some of them at home.	kami memiliki beberapa dari mereka di rumah
There is no other place like it.	tidak ada tempat lain yang seperti itu
Tonight will be fun.	malam ini akan menyenangkan
It works well and we are quite happy with it.	ini bekerja dengan baik dan kami cukup senang dengan itu
They will have questions.	mereka akan memiliki pertanyaan
Would love to see more of it.	akan sangat senang melihat lebih banyak lagi
I don't want him to mean me.	aku tidak ingin dia berarti aku
I feel wrong.	saya merasa salah
It's part of what we do.	itu adalah bagian dari apa yang kami lakukan
More people, more beds.	lebih banyak orang lebih banyak tempat tidur
Maybe men can change.	mungkin pria bisa berubah
They don't think.	mereka tidak berpikir
It just works better for us this way.	ini hanya bekerja lebih baik bagi kita dengan cara ini
Too much, actually.	terlalu banyak sebenarnya
It almost seems real.	ini hampir tampak nyata
It's hard to find the time.	sulit untuk menemukan waktu
What is this ourselves we do not know.	apa ini sendiri kita tidak tahu
This issue is too important for this.	masalah ini terlalu penting untuk ini
They have to be here all the time.	mereka harus berada di sini setiap saat
Most are pretty good.	sebagian besar cukup bagus
I myself am no different.	saya sendiri tidak berbeda
It's the same all year round.	itu sama sepanjang tahun
