There and then.	teo ary avy eo
These are gone.	lasa ireo
There is a reason for this.	misy antony izany
I should have said that right away.	tokony ho nilaza izany avy hatrany aho
You can do whatever you want.	afaka manao izay rehetra tianao ianao
Kind of a thing.	karazana zavatra
You have it all.	manana azy rehetra ianao
He always hopes.	manantena foana izy
This is the wrong way.	diso lalana izany
Of course he will.	mazava ho azy fa hanao izany izy
It’s really not too much.	tena tsy dia betsaka loatra izany
And it will be easy.	ary ho mora izany
They don’t seem to do that.	toa tsy manao izany izy ireo
We had them.	nanana azy ireo izahay
People love him.	tia azy ny olona
Too little.	kely loatra
Or not go when you want.	na tsy mandeha rehefa tianao
He saw no one.	tsy nahita olona izy
He deserves that man.	mendrika izany lehilahy izany izy
But then, so did he.	saingy avy eo toy izany koa izy
.	
And that may be true.	ary mety ho marina izany
That’s a good thing for him.	zavatra tsara ho azy izany
History is made.	atao ny tantara
It could be.	mety ho izy io
Here's what's next.	izao ny manaraka
Maybe he didn’t like the idea.	angamba tsy tiany ilay hevitra
He quickly looked around.	nijery manodidina azy haingana izy
But he loved her.	tiany anefa izy
Thank you for starting this conversation.	misaotra anao nanomboka ity resaka ity
I won’t do it, even for you.	tsy hanao izany aho na dia ho anao aza
And we did just that.	dia nanao izany ihany izahay
Three years ago.	telo taona lasa izay
Some of them work.	misy aminizy ireo miasa
But for one, a small space.	fa ny iray toerana kely
Yes, maybe not the last part.	eny mety tsy ny ampahany farany
The big ones come with time.	tonga miaraka aminny fotoana ny lehibe
That’s the best thing.	izany no zavatra tsara indrindra
But it must make sense.	tsy maintsy misy dikany anefa izany
I have no problem with that at all.	tsy manana olana mihitsy aho aminizany
I've been there before.	efa tany aho taloha
You have nothing to lose if you don’t work.	tsy misy ho very ianao raha tsy miasa
It was there that he was most happy.	teo izy no tena faly
I think that was always the idea in him.	heveriko fa izany foana no hevitra tao aminy
I don't need anything.	tsy mila na inona na inona aho
He has three more.	manana telo hafa izy
It works even when time is of the essence.	miasa izy io na dia tsy misy dikany aza ny fotoana
Designed to be complete.	natao ho fomba feno
Of course, this is just a personal opinion.	mazava ho azy fa hevitra manokana fotsiny izany
I want him to be better than he is.	tiako ho tsara kokoa noho izy izy
And the first woman.	ary ny vehivavy voalohany
You always are.	ianao foana no
Someone you should know.	olona tokony ho fantatrao
Kind of normal, not like you.	karazana mahazatra tsy toa anao
It’s a really good job.	tena asa tsara izany
But one day he will be there.	fa izy indray andro any
It’s all very appropriate.	tena mety daholo
They both need to work.	mila miasa izy roa
Yes, some fools do it wrong.	eny misy adala manao izany tsy mety
In and of themselves, they will never do that.	ao aminny tenany sy ny tenany dia tsy hanao izany mihitsy izy ireo
You are the problem.	ianao no olana
His only.	ny azy ihany
Maybe all of them and others.	angamba izy rehetra sy ny hafa
Maybe you already have.	angamba ianao efa manana
More needs to be done.	mila atao bebe kokoa
These are made better.	ireo dia natao tsara kokoa
You can do this at night.	afaka manao izany aminny alina ianao
He is underage.	tsy ampy taona izy
I almost lost.	saika ho very aho
He’s just not like me.	tsy mitovy amiko fotsiny izy
I want to make sure it’s safe.	tiako ho azo antoka fa azo antoka
I thought that was it.	nieritreritra aho fa izany no izy
Both are happy.	samy faly
But only a little.	kely ihany anefa
This is the last one.	io no farany
He got there.	tonga teo izy
For one thing, though, you have to be sure.	ny aminny zavatra iray anefa dia tokony ho azo antoka
No option seems better than the other.	tsy misy safidy toa tsara kokoa noho ny hafa
She is a woman.	vehivavy izy
In fact, it even seemed necessary.	eny tokoa toa nila izany mihitsy aza
This turned out to be possible.	izany dia hita fa mety
So, check out this game.	noho izany jereo ity lalao ity
He walked fast.	nandeha haingana izy
The world will be a better place when he is gone.	toerana tsara kokoa izao tontolo izao rehefa lasa izy
Yes, they are.	eny eo izy ireo
Surely everything will be discovered soon.	azo antoka fa ho hita tsy ho ela ny zavadrehetra
So it was important for us to get started.	noho izany dia zavadehibe ho antsika ny nanomboka
Start a car that won’t do it.	manomboka fiara izay tsy hanao izany
But this is not possible.	tsy azo atao anefa izany
I think it should be.	heveriko fa tokony ho izany
They are too many.	be loatra izy ireo
He wanted to be close.	te ho akaiky akaiky izy
A simple life is not bad at all.	tsy ratsy mihitsy ny fiainana tsotra
Just for him.	ho azy fotsiny
There was a lot of action.	nisy hetsika be dia be
We have time now.	manana fotoana isika izao
He doesn't like me very much.	tsy dia tia ahy loatra izy
No one was watching.	tsy nisy nijery
Not for you.	tsy ho anao
Look, here’s the latest, important news.	jereo ity misy vaovao farany zavadehibe
Difficult question.	fanontaniana sarotra
Really fun.	tena mahafinaritra
Then, came my favorite part.	avy eo tonga ny ampahany tiako indrindra
Have, don’t like.	manana tsy tia
As you can probably understand.	araka ny mety ho azonao tsara
And perhaps the biggest reason is money.	ary angamba ny antony lehibe indrindra dia ny vola
If possible.	raha azo atao izany
But it might be the best.	saingy mety ho ny tsara indrindra izany
But of course it is a personal choice.	saingy mazava ho azy fa safidy manokana izany
There is no other way.	tsy misy fomba hafa
Much better.	tena tsara kokoa
It could be very meaningful.	mety ho tena dikany
He doesn’t have the right things.	tsy manana ny zavatra mety izy
Anyway, good job !.	na izany na tsy izany asa tsara
This works well for me.	ity dia miasa tsara amiko
Do it over and over again.	manao izany hatrany hatrany hatrany
That’s definitely good.	azo antoka fa tsara izany
No, you can't do that.	tsia tsy afaka manao izany
But this is not entirely true.	tsy marina tanteraka anefa izany
Finally, something happened to him.	farany nisy zavatra tonga taminy
The place is really bad.	tena ratsy ny toerana
Even if you are a lot.	na dia be aza ianao
Or very simply.	na tena tsotra
Some of them are not fun.	ny sasany aminizy ireo dia tsy mahafinaritra
There is.	misy
None of these right now, but maybe.	tsy misy ireo aminizao fotoana izao saingy mety
But it's not.	saingy tsy izany
In battle you need speed.	aminny ady dia mila haingana ianao
We have a house there.	manana trano any izahay
Which, of course, he is.	izay mazava ho azy dia izy
Not good, but good.	tsy tsara fa tsara
I don't need money.	tsy mila vola aho
Of course, the situation is different.	mazava ho azy fa hafa ny zavamisy aminny zavamisy
It is not necessary.	tsy ilaina izany
He almost didn’t like it.	saika tsy tiany izany
In fact, no one comes that way anymore.	raha ny marina tsy misy olona tonga toy izany intsony
I have to hurry.	tsy maintsy ho haingana aho
But that is too much.	be loatra anefa izany
She is the kind of woman that all women are.	izy no karazana vehivavy izay vehivavy rehetra
So as usual, men are the problem.	ka toy ny mahazatra dia ny lehilahy no olana
It is a difficult task.	asa sarotra izany
He wanted everything to be as it should be.	tiany ho araka ny tokony ho izy ny zavadrehetra
Words are not enough now.	tsy ampy ny teny ankehitriny
He never had a choice.	tsy nanana safidy mihitsy izy
We had good reason.	nanana antony tsara izahay
It's a crazy house.	trano adala io
I need more of these.	mila bebe kokoa aminireo aho
Not then, however.	tsy avy eo na izany aza
But you still have it.	saingy mbola manana izany ianao
I know some.	fantatro ny sasany
It doesn't work.	tsy mety
Many women have.	maro ny vehivavy manana
Like the last one.	toy ny farany
This is also not true.	tsy marina koa izany
He may have died.	efa maty angamba izy
And some days are bad.	ary ratsy ny andro sasany
Yes yes yes.	eny eny eny
It really means something to me.	tena misy dikany amiko
And they are right.	ary marina ireo
That’s a lot, too.	be dia be koa izany
Now that is not the case.	ankehitriny dia tsy izany no izy
This is probably the biggest.	izany angamba no lehibe indrindra
You get news for him.	mahazo vaovao ho azy ianao
Sure, some may be smaller, but they are there.	azo antoka fa mety ho kely kokoa ny sasany saingy misy izy ireo
It is one thing to be right.	zavatra iray ny hoe marina
They both just looked at me.	nijery ahy fotsiny izy roa
It is never enough.	tsy ampy mihitsy izany
He is all dead.	efa maty daholo izy
They were certainly there.	azo antoka fa teo izy ireo
This is more than a far cry.	izany dia mihoatra noho ny mety lavitra
Of course not then.	mazava ho azy fa tsy taminizany
It was all there.	teo daholo ny tao
I know your type.	fantatro ny karazana anao
It’s a good food choice.	safidy sakafo mety izy io
But what he really likes is women.	ny tena tiany anefa dia vehivavy
This is another man.	lehilahy hafa io
That is, if it comes to you.	izany hoe raha tonga aminao izany
There you are.	misy ianao
And life was hard there.	ary sarotra ny fiainana tany
It has everything.	manana ny zavadrehetra izy io
But it is in the wrong place.	diso toerana anefa izy io
He is not alone.	tsy irery izy
It was a lot of fun.	nahafinaritra be ilay izy
The idea became obsolete.	lasa tsy ilaina intsony ilay hevitra
They will soon be.	tsy ho ela izy ireo
By himself.	aminny tenany
But nothing is true.	tsy misy marina anefa
No he said and left.	tsia hoy izy dia lasa
It turns out that this is always possible.	hita fa azo atao foana izany
And it shouldn’t be.	ary tsy tokony ho
Sometimes men have to walk.	tsy maintsy mandeha ihany ny lehilahy indraindray
I hope it is there.	manantena aho fa ao izany
Because of course no one can do all that.	satria mazava ho azy fa tsy misy afaka manao izany rehetra izany
It seems familiar and familiar.	toa mahazatra sy mahazatra izany
And a real man.	ary tena lehilahy
There’s nothing you don’t like.	tsy misy zavatra tsy tianao
And if a woman.	ary raha vehivavy
And he did it again.	dia nanao izany indray izy
I find it all too much for me.	hitako fa be loatra amiko izany rehetra izany
The place is really nice too.	ny toerana dia tena mahafinaritra ihany koa
Below it, fine.	eo ambany io tsara
Whatever was done to me.	na inona na inona natao tamiko
I am a simple man.	lehilahy tsotra aho
In the end, everything went well.	taminny farany dia lasa tsara daholo
The days are over.	efa lasa ny andro
You know there will always be.	fantatrao fa hisy foana izany
I'm watching the news.	mijery ny vaovao aho
There is simply no place.	tsy misy toerana tsotra izao
Then the conversation went on again.	dia nandeha indray ny resaka
I always have that.	manana anio foana aho
No part of it is unnecessary.	tsy misy ampahany aminy tsy ilaina
Maybe better.	angamba tsara kokoa
But even so, it’s great.	saingy na izany aza dia lehibe izany
Many are very good.	maro no tena tsara
You really aren’t that hard.	tena tsy dia mafy loatra ianao
She is malnourished.	tsy ampy sakafo izy
You have to look at everything.	tsy maintsy mijery ny zavadrehetra
He often does bad things.	matetika izy no manao ratsy
We need you.	mila anao izahay
That was no problem either.	tsy nisy olana koa izany
This is not a typical meal.	tsy sakafo mahazatra izany
This is not uncommon.	tsy mahazatra izany
You can go.	afaka mandeha ianao
But the real problem is food.	ny sakafo anefa no tena olana
Not too much in other houses.	tsy dia be loatra aminny trano hafa
One day they will come.	indray andro any dia ho avy izy ireo
Or anyone can.	na misy afaka
Not everything is good for you.	tsy tsara ny zavadrehetra aminao
But it will all come.	saingy ho avy izany rehetra izany
You made that move.	nanao izany hetsika izany ianao
He looked around and left quickly.	nijery ny manodidina izy ary lasa nandeha haingana
It doesn’t make sense.	tsy misy dikany izany
They are all lost.	very izy rehetra
He must be dead.	tokony ho efa maty
And he went.	dia nandeha izy
Every word has meaning.	ny teny rehetra dia misy dikany
And thought more.	ary nieritreritra bebe kokoa
This is especially true in war.	marina indrindra izany aminny ady
The battle is the same.	mitovy ihany ny ady
Despite this, nothing was done.	na dia teo aza izany dia tsy nisy natao
But even so, nothing is certain.	saingy na izany aza tsy misy azo antoka
He may be lost when he arrives.	mety ho very izy rehefa tonga
